BenchType	TestType	TestNo	Rate	50p	90p	Throughput	CommitRate
Micro	2pl	1	1000	353.41	520.43	7421	93
Micro	occ	1	1000	353.05	521.14	7479	88
Micro	tapir	1	1000	217.28	526.96	7373	71
Micro	janus	1	1000	216.17	503.44	8012	100
Micro	ncc	1	1000	117.66	201.84	8000	99
Micro	ncc-ft	1	1000	235.71	319.77	7933	99
Micro	calvin	1	1000	1408.29	2758.65	5225	100
Micro	detock	1	1000	442.43	556.04	8008	100
Micro	tiga	1	1000	187.3	316.63	8003	100
Micro	2pl	1	4000	903.49	1749.97	19236	71
Micro	occ	1	4000	977.67	2253.91	18156	56
Micro	tapir	1	4000	216.64	548.11	29749	40
Micro	janus	1	4000	216.48	505.22	31936	100
Micro	ncc	1	4000	124.01	271.4	31654	98
Micro	ncc-ft	1	4000	243.48	354.62	31334	98
Micro	calvin	1	5000	1438.92	3076.33	24738	100
Micro	detock	1	4000	445.15	589.25	32163	100
Micro	tiga	1	4000	188.37	316.1	32155	100
Micro	2pl	1	8000	1390.9	3437.17	18288	69
Micro	occ	1	8000	1615.8	3931.68	16636	58
Micro	tapir	1	8000	633.13	1884.01	37836	32
Micro	janus	1	8000	218.51	508.43	62955	100
Micro	ncc	1	8000	1069.56	3164.38	38540	86
Micro	ncc-ft	1	8000	1749.79	3819.79	33854	88
Micro	calvin	1	8000	1477.6	3273.27	37545	100
Micro	detock	1	8000	454.13	1398.35	57143	100
Micro	tiga	1	8000	188.44	316.02	64264	100
Micro	2pl	1	15000	1497.24	3621.58	17768	68
Micro	occ	1	15000	1565.99	3793.85	16706	54
Micro	tapir	1	15000	732.68	2204.82	37035	32
Micro	janus	1	15000	395.36	660.74	77877	100
Micro	ncc	1	15000	2013.72	6825.8	34820	84
Micro	ncc-ft	1	15000	2821.42	8313.97	29916	83
Micro	calvin	1	15000	1341.09	3544.07	65727	100
Micro	detock	1	15000	1319.67	7133.62	40583	100
Micro	tiga	1	15000	189.29	341.43	120826	100
Micro	2pl	1	20000	1426.76	3470.4	17889	68
Micro	occ	1	20000	1587.16	3810.12	16401	54
Micro	tapir	1	20000	725.84	2231.22	36228	31
Micro	janus	1	20000	406.22	645.98	80712	100
Micro	ncc	1	20000	2553.98	8259.93	33172	83
Micro	ncc-ft	1	20000	3720.78	10139.78	27849	84
Micro	calvin	1	20000	1452.04	3608.43	88455	100
Micro	detock	1	20000	1575.43	5281.28	53271	100
Micro	tiga	1	20000	194.38	375.32	160179	100
Micro	2pl	1	25000	1442.85	3491.65	17916	68
Micro	occ	1	25000	1611.85	3808.75	16156	54
Micro	tapir	1	25000	744.78	2191.64	36298	31
Micro	janus	1	25000	409.4	640.23	80332	100
Micro	ncc	1	25000	3400.48	10239.36	32281	81
Micro	ncc-ft	1	25000	3780.17	11360.27	28812	82
Micro	calvin	1	25000	531.59	3824.4	93828	100
Micro	detock	1	25000	1779.92	8603.84	35951	100
Micro	tiga	1	25000	267.33	605.74	188738	100
